Technology | Aim | Prerequisite | Learning | Location
Generative AI | Create intelligent applications with LLMs. | Python, Database | Advanced Python, LLM models, Ollama, LangChain, Streamlit, Prompt engineering, HuggingFaces | Hinjawadi
Android Mobile App Development | Develop Android Mobile Application | Java Programming, Database, JS | Android Programming (Java), Express JS server | Hinjawadi
C Programming | System application development with GUI | Basic C Programming | Revision of structs and File IO, System programming, GUI programming in C | Hinjawadi & Marketyard
Java Programming | Desktop application development with GUI | Basic Java Programming | Revision of Collections and File IO, GUI programming in Java | Hinjawadi, Marketyard & Karad
Web Programming | Web Application Development | HTML, JS, CSS, SQL basics | Node JS, REST services using Express, jQuery, Advanced SQL | Hinjawadi & Karad
Python Web Development | Python-based Web Application Development | Python, HTML, JS, CSS, SQL basics | Python Flask/Database connectivity, REST services, jQuery, Advanced SQL | Hinjawadi
Data Science (ML) | Exploring & Visualizing data and Machine learning using Python. | Python Programming | Advanced Python, ML models, Power BI, Flask | Hinjawadi
.NET | Web application development using .NET | C# | Cortex-M embedded programming | Hinjawadi
CYBER SECURITY | Build and manage secure IT infrastructure. | Networking & Linux Basics | Configure essential network services, implement firewall solutions, secure web servers with certificates, deploy intrusion detection systems, and work with virtualized environments | Hinjawadi
ARM Micro-controller | Develop ARM Cortex-M firmware with embedded communication protocols and sensor interfacing | C Programming, Basic electronics | Advanced Python, LLM models, Ollama, LangChain, Streamlit, Prompt engineering, HuggingFaces | Hinjawadi
